,overpoints,to_end_seconds,interactions
908,1136,29433,1
909,1203,29432,1
910,1503,29432,1
911,1350,29432,1
912,1320,29432,1
913,1492,29432,1
914,1545,29432,1
915,1319,29432,1
916,1269,29432,1
917,1247,29432,1
918,1372,29432,1
919,1345,29432,1
920,1188,29431,1
921,1140,29431,1
922,1194,29431,1
923,1264,29431,1
924,1352,29431,1
925,1128,29431,1
926,1016,29431,1
927,1011,29431,1
928,1024,29431,1
929,1374,29431,1
930,1176,29430,1
931,1329,29422,1
932,1572,29422,1
933,1862,29422,1
934,2108,29422,1
935,2260,29422,1
936,2379,29422,1
937,2494,29422,1
938,2536,29421,1
939,2539,29421,1
940,2563,29421,1
941,2556,29421,1
942,2575,29421,1
943,2573,29421,1
944,2568,29421,1
945,2560,29421,1
946,2571,29421,1
947,2597,29421,1
948,2593,29421,1
949,2595,29420,1
950,2590,29420,1
951,2609,29420,1
952,2589,29420,1
953,2610,29420,1
954,2613,29420,1
955,2591,29420,1
956,2604,29420,1
957,2594,29420,1
958,2604,29420,1
959,2593,29419,1
960,2596,29419,1
961,2588,29419,1
962,2611,29419,1
963,2604,29419,1
964,2598,29419,1
965,2606,29419,1
966,2568,29419,1
967,2597,29419,1
968,2600,29419,1
969,2579,29419,1
970,2589,29418,1
971,2171,29418,1
972,1750,29418,1
973,1252,29418,1
974,1254,29416,1
975,1718,29416,1
976,2011,29416,1
977,2171,29416,1
978,2329,29416,1
979,2399,29416,1
980,2505,29416,1
981,2577,29415,1
982,2627,29415,1
983,2663,29415,1
984,2678,29415,1
985,2696,29415,1
986,2697,29415,1
987,2683,29415,1
988,2679,29415,1
989,2707,29415,1
990,2711,29415,1
991,2704,29415,1
992,2688,29414,1
993,2707,29414,1
994,2712,29414,1
995,2703,29414,1
996,2701,29414,1
997,2677,29414,1
998,2650,29414,1
999,2613,29414,1
1000,2130,29414,1
1001,1526,29414,1
1002,1131,29412,1
1003,1824,29411,1
1004,2115,29411,1
1005,2263,29411,1
1006,2338,29411,1
1007,2370,29411,1
1008,2450,29411,1
1009,2487,29411,1
1010,2579,29411,1
1011,2601,29411,1
1012,2645,29411,1
1013,2691,29411,1
1014,2710,29410,1
1015,2730,29410,1
1016,2753,29410,1
1017,2712,29410,1
1018,2738,29410,1
1019,2722,29410,1
1020,2695,29410,1
1021,2702,29410,1
1022,2712,29410,1
1023,2693,29410,1
1024,2708,29409,1
1025,2507,29409,1
1026,2301,29409,1
1027,2135,29409,1
1028,1203,29408,1
1029,1259,29408,1
1030,1309,29408,1
1031,1332,29407,1
1032,1376,29407,1
1033,1514,29407,1
1034,1623,29407,1
1035,1744,29407,1
1036,1862,29407,1
1037,1901,29407,1
1038,1995,29407,1
1039,2092,29407,1
1040,2135,29407,1
1041,2192,29406,1
1042,2230,29406,1
1043,2211,29406,1
1044,2180,29406,1
1045,2151,29406,1
1046,2155,29406,1
1047,2193,29406,1
1048,2229,29406,1
1049,2234,29406,1
1050,2248,29406,1
1051,2260,29405,1
1052,2275,29405,1
1053,2280,29405,1
1054,2282,29405,1
1055,2303,29405,1
1056,2313,29405,1
1057,2296,29405,1
1058,2295,29405,1
1059,2299,29405,1
1060,2292,29405,1
1061,2297,29405,1
1062,2302,29404,1
1063,2330,29404,1
1078,1219,29229,1
1079,1237,29229,1
1080,1242,29229,1
1081,1206,29229,1
1082,1172,29229,1
1083,1169,29229,1
1084,1152,29228,1
1085,1159,29228,1
1086,1156,29228,1
1087,1156,29228,1
1088,1163,29228,1
1089,1172,29228,1
1090,1168,29228,1
1091,1157,29228,1
1092,1173,29227,1
1093,1175,29227,1
1094,1413,29227,1
1095,1397,29227,1
1096,1372,29227,1
1097,1399,29227,1
1098,1410,29227,1
