date,start_time,points_mean,mode,saturation
2017-05-25,09:17:30,0,6,0.0
2017-05-25,09:18:00,0,7,0.0
2017-05-25,09:18:30,92611,1,0.15899102476943888
2017-05-25,09:19:00,0,1,0.0
2017-05-25,09:19:30,0,1,0.0
2017-05-25,09:20:00,0,1,0.0
2017-05-25,09:20:30,0,1,0.0
2017-05-25,09:21:00,0,1,0.0
2017-05-25,09:21:30,0,1,0.0
2017-05-25,09:22:00,0,1,0.0
2017-05-25,09:22:30,0,1,0.0
2017-05-25,09:23:00,0,1,0.0
2017-05-25,09:23:30,0,1,0.0
2017-05-25,09:24:00,0,1,0.0
2017-05-25,09:24:30,0,2,0.0
2017-05-25,09:25:00,0,2,0.0
2017-05-25,09:25:30,40542,3,0.06960095589295646
2017-05-25,09:26:00,0,3,0.0
2017-05-25,09:26:30,0,4,0.0
2017-05-25,09:27:00,0,4,0.0
2017-05-25,09:27:30,0,5,0.0
2017-05-25,09:28:00,0,5,0.0
2017-05-25,09:28:30,0,5,0.0
2017-05-25,09:29:00,0,6,0.0
2017-05-25,09:29:30,0,7,0.0
2017-05-25,09:30:00,0,7,0.0
2017-05-25,09:30:30,0,1,0.0
2017-05-25,09:31:00,0,1,0.0
2017-05-25,09:31:30,0,2,0.0
2017-05-25,09:32:00,0,2,0.0
2017-05-25,09:32:30,0,3,0.0
2017-05-25,09:33:00,0,3,0.0
2017-05-25,09:33:30,0,3,0.0
2017-05-25,09:34:00,0,4,0.0
2017-05-25,09:34:30,25466,4,0.043719055369000774
2017-05-25,09:35:00,0,4,0.0
2017-05-25,09:35:30,0,4,0.0
2017-05-25,09:36:00,0,4,0.0
2017-05-25,09:36:30,0,4,0.0
2017-05-25,09:37:00,0,4,0.0
2017-05-25,09:37:30,0,4,0.0
2017-05-25,09:38:00,81080,4,0.13919504473881186
2017-05-25,09:38:30,0,4,0.0
2017-05-25,09:39:00,0,4,0.0
2017-05-25,09:39:30,0,4,0.0
2017-05-25,09:40:00,0,4,0.0
2017-05-25,09:40:30,0,4,0.0
2017-05-25,09:41:00,0,5,0.0
2017-05-25,09:41:30,0,5,0.0
2017-05-25,09:42:00,9719,6,0.016685207693839573
2017-05-25,09:42:30,27739,6,0.04762125488418725
2017-05-25,09:43:00,40543,7,0.06960267265473175
2017-05-25,09:43:30,0,7,0.0
2017-05-25,09:44:00,40544,1,0.06960438941650701
2017-05-25,09:44:30,76871,1,0.13196919442670457
2017-05-25,09:45:00,0,1,0.0
2017-05-25,09:45:30,40544,4,0.06960438941650701
2017-05-25,09:46:00,69927,4,0.12004800065923653
2017-05-25,09:46:30,0,4,0.0
2017-05-25,09:47:00,40541,4,0.0695992391311812
2017-05-25,09:47:30,81087,4,0.13920706207123876
2017-05-25,09:48:00,40536,4,0.06959065532230485
2017-05-25,09:48:30,0,4,0.0
2017-05-25,09:49:00,106674,4,0.1831338456150471
2017-05-25,09:49:30,222996,4,0.3828310088378896
2017-05-25,09:50:00,59749,4,0.10257479931054847
2017-05-25,09:50:30,82969,4,0.14243800773229504
2017-05-25,09:51:00,208496,4,0.3579379630964889
2017-05-25,09:51:30,135509,5,0.23263667140492916
2017-05-25,09:52:00,149488,5,0.25663528426141474
2017-05-25,09:52:30,97913,6,0.16809329570191522
2017-05-25,09:53:00,183743,6,0.3154429588732549
2017-05-25,09:53:30,136417,7,0.23419549109687343
2017-05-25,09:54:00,213249,7,0.3660977318143425
